month,department,budget_revenue,actual_revenue,budget_expense,actual_expense
2023-04,Sales,301197,242980,121636,115551
2024-01,Finance,176026,184183,99946,79435
2024-08,Operations,232206,230683,110020,131363
2024-05,Operations,694686,681639,229843,266496
2023-09,Operations,377873,353076,148601,190620
2023-04,IT,58164,58769,18776,17133
2024-11,Marketing,791738,840175,369614,427811
2024-02,HR,575407,740478,202532,196799
2024-07,Finance,587639,595560,327393,409751
2023-03,Marketing,761423,899497,360300,407294
2024-02,Operations,646364,674112,205422,167757
2023-08,Finance,343904,339796,134212,138281
2024-12,Marketing,797424,811638,386671,293012
2023-01,Sales,139074,118684,55719,48782
2023-10,Operations,540994,560850,245585,217239
2024-06,Marketing,490844,373508,281159,268185
2024-04,IT,221811,198849,89835,90786
2023-08,Sales,79738,80789,31955,34341
2023-01,Operations,574209,656480,313476,334535
2023-12,HR,298433,349666,118068,123548
2023-08,Operations,359065,348872,116117,127712
2024-12,IT,434592,442712,153968,132802
2024-04,HR,635356,710406,371454,394104
2024-06,HR,335725,282163,194716,246348
2023-04,HR,145672,152747,53526,54871
2023-06,Finance,71485,64383,33315,37452
2023-12,Finance,273773,268128,93414,103712
2023-09,HR,610582,576949,306758,361772
2024-03,Sales,706994,743929,251401,274799
2024-04,HR,618257,659084,194712,229138
2024-12,Marketing,574381,635799,314455,354105
2023-12,HR,78370,81644,31161,35791
2024-12,Finance,594038,606274,197551,220529
2024-11,Finance,293707,359051,161589,145265
2024-02,Marketing,298706,244065,157931,138092
2024-01,Marketing,68934,82960,34820,34716
2023-02,Operations,793417,765823,454925,583553
2023-03,Sales,351269,375333,156935,160740
2024-12,Sales,529757,509054,179278,196566
2024-10,Sales,526966,482540,167788,126663
2023-10,IT,241157,255180,95385,102926
2023-09,Finance,368687,414793,120210,127769
2024-08,Sales,722298,763296,332728,215941
2023-08,Operations,389636,364288,118585,129688
2023-10,Operations,494802,709230,214313,171954
2024-07,Sales,370168,423408,130868,123172
2023-03,Marketing,745047,828493,305827,366738
2024-12,Operations,338351,324019,170024,182540
2023-05,Marketing,623642,576856,252755,248390
2023-03,Finance,742670,717730,298851,289852
2024-04,IT,623248,704126,372219,367492
2024-05,Operations,671443,591626,346225,371891
2024-03,Marketing,307091,267726,139467,121322
2023-03,Sales,718763,765299,340559,415026
2023-12,Finance,718425,745943,349193,306544
2023-09,HR,271002,245951,83298,65883
2024-09,HR,207873,180653,67367,80751
2023-12,Sales,158182,185475,78261,77044
2024-03,Finance,673420,702269,275658,292354
2023-02,Finance,527158,440902,166915,191650
2024-11,Finance,533430,450622,207639,195613
2024-06,Finance,342112,327270,116005,124191
2024-08,HR,616805,671047,354597,406805
2023-12,Marketing,562115,602250,202854,262997
2024-11,Finance,300714,341551,103177,100426
2023-04,Marketing,758599,622929,370083,362887
2024-11,Finance,304055,312222,138823,157494
2024-04,Operations,703570,823957,332633,359672
2024-11,IT,768131,890982,330898,340641
2024-04,Operations,620272,646986,273013,351887
2023-01,IT,716409,918265,382303,304938
2024-10,Operations,696142,747039,254771,213176
2023-02,Finance,447871,503912,187639,149992
2023-03,Marketing,527210,530022,309655,380953
2024-09,IT,140638,127457,50207,56593
2024-08,HR,777814,696124,301894,254915
2024-05,Sales,795769,813111,284463,293436
2024-08,IT,546392,532524,167277,174946
2024-10,IT,115896,91299,44150,31726
2024-09,HR,251207,220284,78863,85033
2023-01,Finance,486152,467576,168405,147079
2024-08,Operations,679323,738609,277710,321032
2023-06,Operations,543597,542548,166458,146143
2024-03,Marketing,325894,323075,171383,185586
2024-02,Finance,231613,204183,124764,155229
2024-08,HR,598634,600298,253476,303203
2024-03,Finance,301731,349492,179650,202299
2024-02,Finance,53514,54513,26954,27972
2024-09,Operations,599126,490757,313412,258559
2024-12,HR,109207,92805,39062,38442
2023-05,Sales,66385,71075,36593,37182
2023-06,IT,199389,194021,116346,116965
2024-05,Operations,74881,74210,27772,22772
2023-11,HR,423905,392736,214470,239169
2024-04,Marketing,279905,296813,146693,128042
2023-12,IT,562527,542214,220257,282351
2024-03,IT,471171,460619,208494,223547
2024-11,Operations,108308,97244,35661,42682
2023-04,Marketing,422659,469406,148745,177570
2024-06,Operations,239086,232741,76141,103680
2024-09,Finance,561972,602965,263030,283357
2023-03,HR,303267,259829,147866,146607
2024-10,Marketing,770790,931165,443077,440587
2023-08,IT,417401,481382,193112,246104
2024-11,Operations,399117,307649,150939,128594
2023-03,IT,109596,99049,34834,31987
2023-08,Marketing,560576,592706,316997,344115
2024-06,IT,594716,500532,263850,270995
2023-10,Operations,112160,110388,58457,69864
2024-08,Operations,509387,535465,155054,131671
2024-05,Sales,300894,294224,134331,139698
2023-08,IT,392873,418276,156252,159681
2024-11,Sales,110843,101620,34261,30463
2023-11,Sales,466219,340665,248355,293505
2023-05,IT,392313,438548,178059,184510
2024-01,Marketing,485293,542119,194094,199895
2024-09,Finance,122981,159928,66623,61712
2024-11,Operations,777498,571568,337494,335644
2023-05,HR,377717,411749,113711,101971
2024-12,Sales,209941,160344,122465,144455
2024-01,Marketing,283151,342833,106664,128521
2023-06,IT,605364,640804,332449,432851
2023-05,Marketing,529221,468767,288385,321580
2023-09,Marketing,278907,305020,97258,97172
2024-04,IT,176283,164583,77952,76366
2023-02,HR,337238,349395,105238,118245
2023-01,IT,732177,750272,297531,321372
2023-08,HR,584843,707250,303705,310954
2024-07,IT,120656,146933,44777,45255
2023-11,Sales,433576,402500,145307,178099
2023-12,HR,493409,556058,223088,219791
2023-12,Sales,447931,467004,206539,258587
2023-07,HR,442838,367767,222636,239850
2024-01,HR,346306,317373,182759,181811
2023-08,IT,151173,193552,76908,71694
2024-10,HR,410002,427608,226986,233074
2023-09,Sales,151980,170213,55757,62754
2023-07,IT,545241,531367,256770,255087
2024-09,Operations,612746,573044,250017,294407
2024-12,Sales,154122,154626,90721,89446
2024-03,Operations,672826,651340,290717,299811
2023-02,Marketing,685489,562655,403008,345376
2024-11,IT,198455,174561,105323,119428
2024-08,Marketing,723078,784500,372775,376474
2023-12,IT,549845,524726,246038,316609
2023-01,IT,781520,783930,338408,391105
2024-11,Sales,500615,514727,229263,243632
2024-10,Operations,399152,414146,154906,191119
2023-08,IT,202935,230856,115947,128790
2023-05,Operations,572377,496912,308110,370113
2024-03,IT,765883,818292,413897,381051
2023-01,Operations,698691,761994,300399,336200
2023-01,Marketing,195942,219122,62961,70856
2023-10,Sales,369631,306960,186635,152721
2024-10,IT,724660,746818,298794,381259
2023-10,Finance,499167,601960,280097,245351
2024-09,Operations,641927,634291,342854,293193
2024-03,Operations,699054,739612,240193,149567
2024-05,Finance,415573,454490,199688,223865
2024-10,Sales,310637,272411,157699,126717
2023-06,Operations,486196,593187,228726,222427
2023-03,Sales,288976,306297,131256,154315
2024-01,Operations,213122,226408,78505,84691
2024-04,HR,708281,567019,262610,251172
2023-08,Operations,382414,418875,202833,164578
2024-03,HR,397437,421588,121459,125571
2024-05,IT,335282,400629,178930,210831
2024-05,Sales,262645,252834,120301,138962
2024-10,Operations,542356,478076,315036,415222
2024-01,Marketing,508480,466851,304679,290048
2024-05,Marketing,567681,533281,283298,241495
2023-06,Finance,720792,624017,305383,334850
2024-05,Marketing,355963,411072,157522,170393
2024-04,HR,400771,464623,144784,151917
2024-02,Marketing,308312,301068,101672,95372
2024-01,Marketing,262194,249836,124182,80965
2023-06,Marketing,600261,469489,325130,292294
2023-03,Operations,676414,732904,256042,290239
2024-02,Finance,210045,251720,89457,97740
2024-02,Sales,356534,329272,166298,198691
2024-03,Finance,362100,357025,207254,228347
2023-08,HR,411523,432969,140571,163118
2024-03,Operations,326207,393709,121043,140979
2024-10,IT,406450,416193,233936,246351
2024-01,Operations,798112,816828,248899,262370
2024-05,Marketing,667484,681847,331629,203510
2024-09,Marketing,525135,435334,258291,245767
2024-12,HR,583893,482520,242301,232121
2023-03,IT,670473,605464,295309,305254
2023-06,Operations,152756,171323,85004,77391
2023-05,IT,166351,159656,58138,69221
2024-10,Sales,258976,242517,95683,87815
2024-05,Finance,385108,359821,174725,212354
2024-11,Operations,232277,228440,98235,88983
2023-02,IT,459033,552791,216806,208010
2024-03,Sales,576708,566244,332328,315056
2023-05,Sales,396592,359171,228092,222518
2024-08,Finance,513069,514623,189325,232263
2023-06,Sales,568036,687670,221899,222106
2023-06,HR,139897,131455,48770,49001
2024-06,Sales,602016,516697,348168,326835
2024-06,IT,174826,164315,73314,74122
2023-04,HR,107858,109524,46908,50776
2024-05,Sales,565131,611804,305618,311035
2024-02,Marketing,230161,257970,104468,107336
2024-02,Sales,541747,473765,181987,218821
2024-01,HR,789617,699520,340604,371615
2023-07,Sales,389136,374040,190348,167005
2023-12,Sales,428329,463511,220916,229136
2024-11,Sales,485456,412054,239623,232253
2024-03,HR,264521,245242,88814,100195
2024-07,Sales,718035,666961,280969,299355
2023-11,Finance,298422,332146,155200,189273
2024-03,IT,671965,714561,379026,355903
2023-12,Finance,535741,593840,168306,171863
2023-03,HR,634337,736237,198337,176595
2024-05,Marketing,229508,221090,113152,118100
2023-03,Finance,614501,526941,285382,233874
2024-07,IT,534245,458534,185170,203357
2024-08,Operations,329729,256999,153154,159537
2023-04,IT,319275,301698,189121,202979
2023-03,Finance,617670,589191,302207,353044
2024-04,Operations,268565,293946,116756,126530
2023-12,HR,212008,212438,116235,99785
2023-08,IT,137081,129015,49876,48211
2024-12,Marketing,103441,102001,43889,45555
2024-05,Operations,497814,435748,228163,228342
2023-07,Operations,653508,733921,294968,300603
2023-11,IT,726002,657532,418388,541066
2024-06,Finance,775267,669216,300648,320206
2023-01,Operations,586939,644544,186030,205998
2023-03,HR,707025,755738,406477,304321
2023-04,IT,335151,265827,122370,142181
2024-01,HR,256802,283149,106241,157002
2023-06,IT,337179,307173,154855,193854
2024-02,HR,531818,507943,315242,310189
2023-05,Finance,651037,665647,299854,417444
2024-04,IT,426193,456194,185105,195123
2024-03,Marketing,596499,628386,283391,310591
2024-03,Finance,76866,76406,45446,45895
2023-04,HR,287012,272386,156531,157470
2023-08,IT,559269,586934,196130,139798
2024-04,Finance,57344,56529,31021,36236
2024-04,HR,382432,465283,211228,212379
2023-04,Sales,157879,168988,80077,81821
2024-01,Sales,514843,457793,255964,279256
2024-01,Operations,601896,567400,260177,257006
2023-02,Marketing,471501,474227,232218,253018
2023-03,Sales,491850,568545,256387,315473
2024-10,HR,745649,871911,251168,278977
2023-08,Finance,556930,530455,210073,215739
2024-12,IT,330151,293162,118268,121990
2024-03,Finance,337401,294422,186368,201294
2023-11,Operations,659342,679314,332308,307443
2023-09,Finance,79784,101840,34724,37542
2023-07,Sales,743948,792074,407547,469773
2024-01,Finance,94221,76199,48527,51590
2023-02,Sales,54696,49930,31399,30971
2023-08,Sales,405675,375302,131050,131958
2023-07,Marketing,84635,76286,38318,43982
2024-12,Operations,700777,668157,358814,317540
2023-12,HR,370687,387118,134280,124548
2024-07,Sales,786619,850994,313182,253353
2023-07,IT,724567,819493,308443,325438
2023-10,Operations,61817,65705,33275,39240
2024-04,HR,570674,436852,255703,319557
2023-03,IT,367402,320787,164545,210996
2023-10,Finance,243654,239031,104592,98988
2023-06,Operations,705528,717997,260041,282795
2024-06,IT,172475,190303,99504,98474
2024-06,Operations,273378,274794,108077,140191
2023-05,Operations,639487,643378,300712,374541
2024-09,Finance,107782,110857,37145,39938
2023-07,Finance,130759,126757,56262,53848
2023-02,Operations,552972,558737,315825,168269
2023-11,IT,635887,721795,380667,317841
2024-01,Marketing,562813,557145,229923,177536
2024-11,Sales,254635,253711,88153,73437
2023-05,Finance,66291,66023,26140,34813
2023-06,Marketing,272047,314413,108321,92695
2024-12,Finance,661345,573408,326276,290665
2024-02,Operations,144535,175335,64874,59159
2023-12,Marketing,476208,408983,252646,363755
2023-04,IT,550269,507069,280852,292263
2024-11,IT,482566,525692,181151,217223
2023-06,HR,58577,65819,31354,33746
2023-10,Sales,604236,502470,334890,251950
2024-06,Sales,127700,110955,61234,78373
2024-03,Finance,317361,327942,183529,203747
2023-08,Sales,207481,265851,110978,114500
2023-09,HR,230112,264525,110135,144719
2023-05,IT,159657,154903,91299,91118
2023-10,Marketing,259002,183814,124348,127871
2024-08,Marketing,667363,673901,304556,304018
2023-06,IT,452885,472574,184268,223230
2024-04,Operations,763607,728539,431330,505550
2024-12,IT,764335,686306,257441,281072
2023-03,Marketing,564591,575374,249577,222681
2023-10,Finance,595917,528535,274851,273329
2023-11,HR,242535,297031,113124,100927
2023-11,IT,358151,423337,177487,217253
2024-05,Operations,461344,497766,208406,169598
2023-04,Finance,576327,582531,217301,280134
2023-04,IT,680903,626962,379319,471549
2024-05,Finance,53857,53722,26780,24429
2023-09,IT,240091,287320,133840,132170
2024-07,Finance,665720,735113,254846,240354
2023-05,Sales,270079,276680,132640,147831
2024-10,Finance,655265,727918,336971,425212
2024-12,Sales,324879,346149,134831,165551
2023-06,Marketing,739871,775054,402248,396238
2023-03,Sales,620339,693332,186568,231012
2024-10,Finance,626981,665880,299995,367725
2023-01,HR,682230,752517,330247,337405
2024-08,HR,381296,388680,175454,183977
2024-10,Marketing,393063,381076,192213,246274
2024-04,Finance,341900,319409,119722,144714
2024-11,Sales,709254,652458,358481,442264
2023-11,HR,416675,336414,166976,240079
2024-01,IT,224304,199757,97710,110616
2023-10,Operations,103214,91560,41278,45358
2023-03,Finance,644105,604890,284810,357063
2023-09,IT,638150,757783,310441,418528
2023-12,IT,795543,780501,438744,420444
2024-11,Finance,473252,486981,210611,214764
2024-02,Operations,461800,476946,183319,164476
2023-01,HR,543663,647236,242681,267291
2024-06,Operations,737668,686717,373732,442270
2024-05,Marketing,340477,331385,137556,124855
2023-09,Sales,436505,430942,185202,225959
2023-09,Sales,671618,763216,314889,309221
2024-11,IT,89288,103689,34661,33613
2023-10,HR,783167,827768,284074,346425
2024-07,Operations,690072,792167,236085,225751
2024-03,IT,226339,231164,91844,77100
2023-05,Finance,344319,337187,108289,125782
2024-03,IT,583203,665695,277047,285426
2024-08,Finance,393802,416844,138922,170833
2024-11,Finance,421879,384642,174328,204826
2023-02,Marketing,549668,615458,209295,164873
2024-01,Marketing,408117,397906,199616,248987
2024-12,Finance,770658,740063,427795,571090
2024-04,HR,588093,651113,288159,347243
2024-03,Marketing,790494,782067,365802,443015
2023-10,Marketing,483733,506311,242217,245329
2024-02,Sales,104716,113033,32356,31660
2023-10,IT,183943,166660,61961,67033
2024-02,Sales,349519,365660,114809,136391
2024-11,HR,751101,872731,247457,293041
2023-09,Marketing,422559,374059,159788,157284
2024-02,Marketing,204220,215245,93862,90964
2023-03,Operations,580122,522378,193995,160332
2024-08,HR,92680,104039,53803,61714
2024-04,IT,703090,788465,391112,387800
2023-02,IT,577687,553124,341697,343351
2023-10,IT,507307,641822,158660,207714
2023-03,HR,727122,823680,403858,460300
2023-11,Operations,418052,453515,226216,248483
2023-11,Operations,388637,418979,221768,260473
2024-09,Sales,494764,553181,226791,286457
2024-09,HR,733700,646039,393532,317729
2024-10,HR,438910,449159,138426,133602
2024-01,Operations,404818,423432,130660,132643
2023-07,Finance,655632,624150,220003,198717
2024-11,Finance,240862,254296,138359,139772
2024-05,Sales,405923,465919,129225,105619
2023-02,Finance,61809,58680,20399,24240
2023-12,Finance,572801,569060,331722,322557
2023-10,Finance,723056,651856,240212,259463
2024-06,Marketing,180306,141641,101138,106973
2024-10,Sales,756817,827558,406245,460524
2023-11,Operations,633439,631482,197686,134597
2024-04,Finance,134661,135429,41280,46132
2024-05,IT,244080,215177,112354,113335
2024-07,Marketing,757848,740977,454066,504480
2024-06,Finance,106632,120663,60103,52474
2023-03,Marketing,116533,116544,45798,50929
2024-09,Sales,121889,122315,50692,63100
2024-04,IT,658527,674926,274192,295706
2023-06,IT,675799,575533,351586,331339
2023-12,IT,107942,116036,43429,41212
2023-11,Finance,59275,50346,20410,23194
2024-03,Marketing,147955,131272,77547,88050
2024-03,IT,688466,601784,301138,332300
2024-04,HR,741214,725628,239437,250061
2023-10,HR,459189,439767,246591,266427
2023-12,Marketing,401230,401171,190822,198505
2024-01,Finance,437808,390248,195617,194221
2023-04,Finance,687462,770410,345107,401573
2023-07,Sales,262637,288922,118609,130056
2024-10,Sales,352079,344735,174112,216522
2023-02,IT,82784,78031,46379,56467
2024-03,Operations,474817,441806,229837,250895
2023-08,Sales,614153,591295,305774,348370
2023-07,Finance,409225,340463,198129,179588
2024-03,Operations,567087,501785,260493,270485
2024-11,Sales,390845,431185,137417,151351
2024-02,Marketing,461832,478558,185057,150375
2023-08,HR,592118,708240,300756,335166
2023-12,Sales,459421,442926,196468,178022
2024-01,Sales,616713,589959,260153,240007
2023-11,Marketing,782855,744535,413175,401018
2024-05,Finance,530910,510576,160159,167434
2024-05,IT,651643,600036,328231,279257
2024-12,Marketing,479067,494645,214031,252234
2023-04,IT,682327,684710,281820,303411
2024-09,Sales,304031,285427,122269,163687
2023-08,Finance,450168,517755,158397,173446
2023-05,Operations,532977,654277,213337,242269
2024-04,Sales,621693,708723,259510,239247
2023-04,Marketing,305516,325977,131749,114981
2024-10,Operations,317535,346561,159304,182064
2024-03,HR,523220,639777,228161,202152
2023-12,Operations,243540,265760,131240,150437
2023-05,Marketing,65091,60520,32019,41816
2024-11,Operations,342381,358497,122188,145631
2024-04,Marketing,425412,457381,162997,185094
2024-02,Sales,305665,269178,98966,107914
2023-10,Finance,386644,373423,225690,223976
2023-07,HR,746042,844554,422233,436088
2024-01,Finance,424924,331942,138286,133471
2024-08,Finance,492850,418897,232735,198450
2023-05,Finance,339112,331933,199438,210469
2023-03,Marketing,760193,792456,398449,484587
2024-03,Marketing,221277,185227,99031,84837
2023-04,HR,782267,770365,291262,366924
2024-03,Marketing,699689,796562,268478,330919
2024-02,IT,796577,803139,414914,460367
2024-08,Marketing,340429,378792,181847,201987
2024-07,Marketing,415651,386117,190620,194825
2024-01,Marketing,495729,447549,166706,176091
2023-10,Sales,65430,72095,37959,37217
2024-09,HR,553982,578529,306589,323373
2023-05,IT,301707,258782,103232,110558
2024-11,Marketing,714393,645739,226475,301706
2024-08,HR,200990,238725,92608,105095
2024-08,Operations,330400,293743,127284,129650
2023-06,Sales,229594,255335,88387,91495
2023-04,Marketing,769713,725545,251054,236746
2023-02,IT,434090,433924,254383,246175
2024-10,Sales,605476,626880,332436,394470
2024-04,IT,367278,274680,122726,119768
2024-06,Sales,348232,287108,196047,187689
2023-05,Operations,458195,462941,231336,222342
2024-10,HR,773624,706382,307617,289351
2023-04,Sales,182667,204512,102544,125009
2024-01,Finance,737984,595749,353794,379056
2024-07,Operations,540320,576970,299661,301954
2024-11,Finance,117824,98365,51934,54758
2023-02,Operations,221503,212143,99719,107955
2024-01,Finance,406691,354746,157512,147731
2023-11,Finance,695912,854782,289713,243811
2024-10,IT,460343,386347,216511,270806
2023-04,Sales,572040,563661,334138,400365
2024-10,Sales,652126,516992,313043,346435
2024-08,Operations,761720,907930,262194,311454
2024-08,HR,158484,166115,47877,64018
2024-03,IT,443423,450711,246231,238767
2023-04,Sales,51083,60120,20908,18440
2023-09,Sales,232636,236751,91772,105466
2023-07,IT,335279,344113,181124,150328
2024-07,Marketing,107109,108802,62509,65990
2024-07,IT,373498,398759,195867,196892
2023-06,Sales,681180,640927,239880,276121
2023-06,HR,502517,489595,209757,205070
2024-08,Marketing,374377,410781,197603,243044
2024-03,Finance,277827,287074,158938,149078
2024-03,IT,525344,518141,314985,364081
2024-08,Finance,227284,189086,103066,97916
2023-09,Marketing,763136,900321,417250,472438
2023-04,Marketing,265648,244562,83410,74885
2024-06,Marketing,776746,868765,299627,313524
2024-06,Operations,101588,103730,41798,52177
2023-05,IT,177558,149998,105231,112307
2024-08,HR,390399,449065,117517,144247
2024-11,HR,727137,749347,285333,298475
2023-11,Finance,492501,571420,285218,277871
2023-05,Finance,171921,168157,67393,72501
2024-10,Finance,263630,285903,96889,110720
2023-04,IT,667769,526533,346589,264852
2023-12,Sales,209860,197262,109883,123985
2023-02,Finance,125018,105920,55214,50190
2024-01,Marketing,96873,92516,56581,49323
2023-10,Finance,704529,744417,254202,287448
2023-09,Marketing,260743,241826,149672,187206
2023-10,Operations,406816,448986,214250,231917
2023-07,Sales,621960,558026,255291,216152
2023-04,Sales,149332,165195,80948,76853
2024-07,IT,132445,153261,45026,44452
2023-10,IT,380007,426224,128934,139173
2023-03,HR,724290,694374,419350,435796
2024-09,Operations,99987,74484,32839,36920
2024-07,IT,150787,161320,45420,54503
2024-09,Marketing,478718,471523,199486,219776
2023-02,Operations,671371,592547,222328,263394
2024-08,Sales,605976,565524,338686,341918
2023-10,Marketing,158406,185672,91369,141108
2023-02,Operations,57304,49483,25484,28872
2023-02,Sales,709409,749275,303372,349668
2024-12,IT,59495,61051,27469,36084
2024-05,Marketing,356688,341390,131210,139505
2024-04,Marketing,736066,792996,286616,273194
2024-04,Sales,675058,807281,222967,277809
2024-02,Marketing,477209,460260,207077,259834
2023-07,IT,64987,63090,31421,33715
2024-09,IT,200161,215102,115906,152294
2023-11,IT,640285,710837,334050,346579
2024-12,Sales,61465,60523,31772,37803
2023-01,Finance,561889,541298,220485,281632
2023-11,Finance,132071,96924,74816,79660
2024-11,Marketing,388141,351903,226707,253576
2024-09,IT,62366,53839,36152,43523
2023-04,Marketing,313929,339719,97833,97350
2023-07,Sales,56242,54595,27069,25116
2024-03,Marketing,686904,663574,338621,423258
2024-06,HR,376543,376133,146294,160340
2023-12,Finance,318500,285241,190374,185455
2024-05,Marketing,565214,670564,218939,232976
2023-01,Marketing,659668,762433,240767,271171
2023-11,Operations,551109,658119,245377,199885
2023-01,Marketing,793023,858058,314785,364331
2024-03,HR,505066,503279,291528,323965
2024-09,Finance,608549,726466,262907,341322
2023-10,Operations,763839,701421,323138,328680
2023-07,Sales,796256,713011,388380,488025
2023-02,Sales,705080,654186,228681,238583
2023-10,Finance,153467,163096,80880,86612
2024-12,Sales,354524,322101,188081,205411
2023-04,HR,391977,384668,173335,236426
2023-12,Marketing,678296,547912,397962,343869
2024-07,Finance,154992,163939,73435,82560
2023-11,Operations,601299,491831,305803,323030
2023-08,Marketing,229675,203983,132592,138654
2024-06,Sales,143593,164566,71782,81648
2023-11,Sales,692627,790729,297516,361749
2023-11,Operations,199519,208480,61338,69296
2024-01,HR,133940,138370,69446,85785
2023-03,Operations,136677,127968,80565,81560
2023-12,Finance,286729,260135,126467,131869
2023-03,Operations,517894,495381,208157,187314
2023-10,Sales,163570,133859,74551,100452
2024-05,HR,376727,388139,195344,199640
2024-10,HR,637344,641078,191335,192371
2023-02,IT,131468,116742,74432,84926
2024-05,Operations,87880,104422,49732,60477
2024-04,Finance,51355,55095,23746,22468
2023-02,Sales,156360,169341,52648,64651
2024-10,Marketing,633224,596192,317588,319018
2024-08,HR,769968,769845,262831,332374
2023-06,Operations,262694,282470,118807,115107
2023-10,IT,268123,273038,87968,102070
2023-10,Finance,307034,366054,146369,154625
2023-08,Finance,260828,254449,103136,90867
2023-01,Sales,97266,91376,53427,44750
2024-01,HR,759914,817751,410341,385128
2024-12,Sales,239287,202973,143462,171994
2023-09,IT,673426,748119,254050,192703
2024-10,Marketing,634944,535838,202255,222499
2023-10,Marketing,104104,112081,45066,48988
2024-03,Marketing,126844,116976,41226,32884
2023-05,Finance,50969,53883,18020,16766
2024-10,HR,411040,455794,196966,183214
2024-04,Sales,453522,461871,216619,229162
2024-01,Sales,639804,547701,200257,254316
2024-10,IT,667365,595547,288883,349907
2024-08,Marketing,786205,717459,360919,359458
2024-06,HR,550314,425172,209343,193765
2023-11,HR,514657,584288,289038,235925
2023-09,IT,516508,523332,179915,178693
2024-04,Operations,251961,217628,94780,86740
2023-02,HR,624405,733476,216729,226390
2023-02,HR,576025,527547,192947,202644
2023-12,Sales,656692,676437,370173,362274
2023-08,IT,467541,421239,179235,175973
2023-09,HR,193398,146558,99939,94535
2023-12,HR,533338,446013,228479,222339
2023-09,Sales,325055,307560,159524,201859
2023-10,HR,734440,813609,424838,479077
2023-02,Sales,363323,378431,201056,227133
2024-04,Operations,762502,775330,244531,293875
2024-08,Finance,285603,216714,158098,187903
2023-07,Sales,375689,432947,163630,206781
2023-02,Sales,290655,298456,117727,134004
2023-01,HR,360748,355578,180993,195612
2024-07,Sales,269973,306659,157951,151851
2023-04,IT,386476,444331,126857,117517
2024-12,Marketing,657176,748228,348581,412140
2024-10,Marketing,66820,64838,24125,24929
2023-02,Operations,650790,572423,269453,227962
2024-02,Sales,424415,474780,238583,175607
2023-02,IT,117345,98123,54417,74667
2024-03,HR,220386,271883,70575,63666
2023-12,HR,120793,121198,54648,51755
2023-05,Finance,317053,276690,170223,210091
2024-08,Operations,667169,568545,306006,265831
2023-07,IT,64866,54921,22707,25652
2024-12,IT,748149,760750,324331,429186
2024-09,HR,294734,294507,170151,232609
2023-10,Finance,378141,322058,188110,184890
2024-02,HR,340604,326034,176761,185279
2024-02,Finance,98500,82331,52774,52274
2023-05,Marketing,249841,267508,81749,85616
2024-06,IT,572881,569127,271809,338331
2024-12,Marketing,324272,309547,133851,112448
2024-02,HR,579490,489916,198039,227189
2023-02,Operations,310731,299538,112115,114433
2023-12,Sales,540010,513135,288553,362213
2024-10,Operations,770687,800071,268543,334957
2024-12,Operations,229037,233627,90177,89178
2023-06,Sales,653546,715663,251917,260326
2023-04,IT,704676,663699,221683,262453
2024-01,Marketing,161302,125291,70754,84727
2023-04,Marketing,754600,844345,399771,271495
2024-10,IT,133583,118578,40962,48475
2024-02,Sales,759649,658744,253544,328839
2024-04,Finance,634352,631069,327361,356280
2023-04,Operations,147119,152455,70333,83873
2024-12,HR,798409,747550,410840,510186
2023-01,Marketing,524392,490493,193517,209625
2024-01,IT,596701,568701,322893,378474
2023-04,HR,754259,882471,334861,352241
2024-08,Sales,136891,136847,66130,68919
2024-06,HR,531981,470188,174301,165719
2023-06,HR,775329,686217,280288,301576
2023-03,Operations,83033,80533,44174,58885
2024-11,Sales,413298,425094,151751,138795
2024-01,HR,51378,54361,16839,19239
2024-04,Marketing,449719,456419,215487,236635
2023-05,Sales,155461,139755,72193,91773
2023-04,Marketing,748134,710074,360876,468934
2024-09,IT,764968,832337,371385,338464
2023-08,IT,693392,598029,312067,300791
2024-07,Finance,345761,326436,154946,150617
2024-02,IT,185886,199213,107302,104873
2023-07,HR,763695,843908,351425,347992
2024-02,Sales,335907,328130,162978,179611
2023-06,IT,191072,181643,72624,66980
2023-12,Marketing,524040,440898,294158,277503
2024-04,HR,446490,474653,137211,127799
2024-05,IT,230940,267487,107887,121253
2024-01,Operations,366376,479153,152102,158252
2024-11,Marketing,719587,752956,346244,351023
2024-02,Marketing,198351,197139,80937,74762
2023-07,Finance,780264,694140,402075,325436
2024-02,Operations,246012,190545,75304,97498
2024-03,Finance,223808,228560,94394,95025
2023-12,IT,405060,519303,222531,324132
2024-05,Operations,452867,521928,169852,198033
2023-09,Marketing,784799,889952,247859,328261
2024-10,Finance,57771,59473,25936,31097
2024-03,HR,391140,408014,231930,249041
2023-12,Operations,382317,271120,122053,117213
2023-02,Marketing,215189,234879,69079,62411
2023-05,Sales,675578,628611,323287,393746
2024-01,Operations,258130,236393,96803,105491
2024-08,Operations,767497,737725,324704,370966
2024-11,IT,609178,583080,334531,392135
2023-08,HR,668028,610499,240259,265100
2024-02,IT,391572,392223,201968,197771
2024-03,Operations,58689,54757,26489,31837
2023-11,Operations,78063,79002,44612,45516
2023-01,HR,369342,303428,218609,232509
2024-09,HR,566817,552257,252510,292307
2023-03,Finance,260670,226377,123920,129019
2024-05,Marketing,575651,531340,301498,234361
2024-07,Marketing,722051,734475,285644,344511
2024-02,Finance,183823,148440,67650,83766
2024-10,Marketing,582070,524626,343075,265997
2024-11,Operations,395328,422319,169905,151811
2023-08,Finance,717900,596157,215712,291983
